Decision ID,Context Key,Options (patch),Default (patch),Current Options,Current Default,Note
DEC-ARCH-001,archMode,GREENFIELD | BROWNFIELD | IMPORT | CONVERT | UPGRADE,BROWNFIELD,GREENFIELD | IMPORT | CONVERT | UPGRADE,BROWNFIELD,options expanded to app enums
DEC-ARCH-002,hldArchitectureModel,CONSOLIDATED | STANDARD | DISAGGREGATED,STANDARD,CONSOLIDATED | STANDARD | DISAGGREGATED,STANDARD,unchanged
DEC-FLEET-001,hldFleetBoundary,SINGLE_FLEET | MULTIPLE_FLEETS,SINGLE_FLEET,SINGLE_FLEET | MULTIPLE_FLEETS,SINGLE_FLEET,unchanged
DEC-FLEET-002,hldInstanceStrategy,SINGLE_INSTANCE | MULTI_INSTANCE,SINGLE_INSTANCE,SINGLE_INSTANCE | MULTI_INSTANCE,SINGLE_INSTANCE,unchanged
DEC-WLD-001,fleetWldMapping,ONE_PER_CLUSTER | AUTO_PREFIX | POOL_ALL | ONE_PER_VCENTER | MANUAL,ONE_PER_CLUSTER,PREFIX | CLUSTER | VCENTER | POOL | MANUAL,ONE_PER_CLUSTER,options expanded to app enums
DEC-AVAIL-001,hldSiteTopology,SINGLE | STRETCHED | MULTI,SINGLE,SINGLE | STRETCHED | MULTI,SINGLE,unchanged
DEC-AVAIL-002,hldAvailabilityObjective,STANDARD | HIGH_AVAILABILITY | CONTINUOUS,HIGH_AVAILABILITY,STANDARD | HIGH_AVAILABILITY | CONTINUOUS,HIGH_AVAILABILITY,unchanged
DEC-NET-001,networkingModel,SEGMENT | VPC,VPC,SEGMENT | VPC,VPC,unchanged
DEC-NET-002,networkTransitType,CTGW | DTGW | SEGMENT_T0,CTGW,CTGW | DTGW | SEGMENT_T0,CTGW,unchanged
DEC-NET-003,networkPhysicalTopology,L2_SHARED | L2_STRETCHED | L3_ROUTED,L2_SHARED,L2_SHARED | L2_STRETCHED | L3_ROUTED,L2_SHARED,unchanged
DEC-NET-004,hldNetworkServices,ROUTING_ONLY | NAT_LB | VPN | SECURITY_SERVICES,NAT_LB,ROUTING_ONLY | NAT_LB | VPN | SECURITY_SERVICES,NAT_LB,unchanged
DEC-NET-005,hldEdgeStrategy,COLLAPSED_EDGE | DEDICATED_EDGE | COLLAPSED_VNA | DEDICATED_VNA | BARE_METAL_EDGE | DISTRIBUTED | DISTRIBUTED_EVPN | PHYSICAL_FABRIC | NETWORK_REVIEW,COLLAPSED_EDGE,COLLAPSED | DEDICATED,COLLAPSED_EDGE,options expanded to app enums
DEC-NET-006,hldNicProfile,2 | 4,2,2 | 4,2,options expanded to app enums
DEC-NET-007,hldVpcConnectivityPolicy,ISOLATED | COMMUNITY | SHARED_SERVICES,ISOLATED,ISOLATED | COMMUNITY | SHARED_SERVICES,ISOLATED,unchanged
DEC-NET-008,hldVpcSpan,ALL_CLUSTERS | SELECTED_CLUSTERS,SELECTED_CLUSTERS,ALL_CLUSTERS | SELECTED_CLUSTERS,SELECTED_CLUSTERS,unchanged
DEC-STG-001,hldStorageTopology,HCI | DISAGGREGATED | EXTERNAL,HCI,HCI | DISAGGREGATED | EXTERNAL,HCI,options expanded to app enums
DEC-STG-002,hldStorageProto,VSAN_ESA | VSAN_OSA | EXTERNAL,VSAN_ESA,VSAN_ESA | VSAN_OSA,VSAN_ESA,add EXTERNAL
DEC-STG-003,hldRemoteDatastoreModel,LOCAL_ONLY | SHARED | MIXED_OSA_ESA,LOCAL_ONLY,LOCAL_ONLY | SHARED | MIXED_OSA_ESA,LOCAL_ONLY,unchanged
DEC-STG-004,hldStorageEfficiency,COMPRESSION | DEDUPE | BOTH | NONE,COMPRESSION,COMPRESSION | DEDUPE | BOTH | NONE,COMPRESSION,unchanged
DEC-STG-005,hldEncryptionScope,NONE | AT_REST | IN_TRANSIT | BOTH,AT_REST,NONE | AT_REST | IN_TRANSIT | BOTH,AT_REST,unchanged
DEC-PROT-001,hldProtectionModel,BACKUP | LOCAL_RECOVERY | REPLICATION | CYBER_VAULT,BACKUP,BACKUP | LOCAL_RECOVERY | REPLICATION | CYBER_VAULT,BACKUP,unchanged
DEC-PROT-002,hldRecoveryObjectives,UNRESOLVED | MISSION_CRITICAL | BUSINESS_CRITICAL | STANDARD_OBJ | CUSTOM,UNRESOLVED,ARCHITECT_DEFINED,UNRESOLVED,options expanded to app enums
DEC-ID-001,hldIdentityMode,EMBEDDED | APPLIANCE | THREE_NODE_HA,THREE_NODE_HA,EMBEDDED | APPLIANCE | THREE_NODE_HA,THREE_NODE_HA,unchanged
